GX,GY,GZ,AX,AY,AZ,IDX
x: -033.551145 , y: +037.996214 , z: -021.362015, ax: 2124 , ay: 688 , az: -4218, index: 18
x: -032.875115 , y: +037.030107 , z: -021.173924, ax: 2576 , ay: -88 , az: -4964, index: 18
x: -032.320611 , y: +035.698198 , z: -020.943695, ax: 1786 , ay: 406 , az: -5096, index: 18
x: -031.892519 , y: +034.123237 , z: -020.496061, ax: 492 , ay: -228 , az: -5144, index: 18
x: -031.541374 , y: +032.335756 , z: -019.848733, ax: -398 , ay: -362 , az: -4918, index: 18
x: -031.262443 , y: +030.454412 , z: -019.247908, ax: -1668 , ay: -648 , az: -5252, index: 18
x: -031.049313 , y: +028.941740 , z: -018.900427, ax: -3066 , ay: -396 , az: -5212, index: 18
x: -030.713954 , y: +027.495145 , z: -018.600977, ax: -4656 , ay: 52 , az: -5084, index: 18
x: -030.293191 , y: +026.184000 , z: -018.088611, ax: -7030 , ay: 26 , az: -5350, index: 18
x: -029.928000 , y: +025.297282 , z: -017.405252, ax: -8098 , ay: -460 , az: -5112, index: 18
x: -029.651359 , y: +025.228885 , z: -017.049221, ax: -8522 , ay: -716 , az: -4688, index: 18
x: -029.441679 , y: +026.286260 , z: -017.239023, ax: -8862 , ay: -892 , az: -3982, index: 18
x: -029.249313 , y: +028.187328 , z: -017.689710, ax: -8038 , ay: -844 , az: -2020, index: 18
x: -028.834443 , y: +031.372916 , z: -017.966076, ax: -5168 , ay: -1124 , az: 922, index: 18
x: -028.270779 , y: +035.260550 , z: -018.150504, ax: 3130 , ay: -2384 , az: 2030, index: 18
x: -027.954015 , y: +038.473069 , z: -018.968702, ax: 12750 , ay: -5248 , az: 2804, index: 18
x: -028.230656 , y: +039.802534 , z: -020.259084, ax: 12742 , ay: -4286 , az: 3144, index: 18
x: -028.687847 , y: +039.354321 , z: -020.556611, ax: 7702 , ay: -1678 , az: 2894, index: 18
x: -028.939450 , y: +037.576000 , z: -019.862870, ax: 3452 , ay: -512 , az: 1390, index: 18
x: -029.036550 , y: +035.693863 , z: -019.430504, ax: 664 , ay: -650 , az: -516, index: 18
x: -029.062809 , y: +034.732641 , z: -019.996611, ax: -1624 , ay: -994 , az: -1912, index: 18
x: -029.169893 , y: +034.409466 , z: -020.771206, ax: -3370 , ay: -498 , az: -3062, index: 18
